City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
66,aswan,24.0934,32.907,11,0,2.32,EG,1687599404,38.44999999999999
67,tuktoyaktuk,69.4541,-133.0374,90,67,4.01,CA,1687599405,0.8899999999999864
68,conceicao do araguaia,-8.2578,-49.2647,64,54,1.56,BR,1687599405,20.939999999999998
69,la ronge,55.1001,-105.2842,87,0,0.0,CA,1687599406,10.29000000000002
70,puerto ayora,-0.7393,-90.3518,96,80,0.45,EC,1687599406,22.680000000000007
71,port elizabeth,-33.918,25.5701,65,20,7.2,ZA,1687599407,19.310000000000002
72,vung tau,10.346,107.0843,75,71,7.18,VN,1687599408,29.439999999999998
73,saint-philippe,-21.3585,55.7679,80,42,3.88,RE,1687599409,23.920000000000016
74,bengkulu,-3.8004,102.2655,87,26,2.16,ID,1687599409,27.170000000000016
75,craig,40.5153,-107.5464,81,0,0.0,US,1687599410,6.939999999999998
76,hermanus,-34.4187,19.2345,82,91,2.21,ZA,1687599411,16.149999999999977
77,port macquarie,-31.4333,152.9167,65,0,3.11,AU,1687599412,11.199999999999989
78,formosa do rio preto,-11.0483,-45.1931,61,84,1.04,BR,1687599412,17.129999999999995
79,mar del plata,-38.0023,-57.5575,92,100,1.34,AR,1687599154,12.420000000000016
80,mount pleasant,32.7941,-79.8626,97,40,2.06,US,1687599191,25.149999999999977
81,hualmay,-11.0964,-77.6139,81,63,1.68,PE,1687599414,19.310000000000002
82,sao joao do piaui,-8.3581,-42.2467,68,54,3.67,BR,1687599415,22.44999999999999
83,ibra,22.6906,58.5334,13,23,1.5,OM,1687599416,45.60000000000002
84,ancud,-41.8697,-73.8203,87,14,6.18,CL,1687599417,9.920000000000016
85,surgut,61.25,73.4167,70,40,4.02,RU,1687599418,9.25
86,birjand,32.8663,59.2211,6,40,3.09,IR,1687599216,41.410000000000025
87,hobyo,5.3505,48.5268,59,32,10.91,SO,1687599419,29.939999999999998
88,san patricio,28.017,-97.5169,97,20,3.1,US,1687599420,29.069999999999993
89,jiuquan,39.7432,98.5174,26,54,8.65,CN,1687599146,27.25999999999999
90,bonavista,48.6499,-53.1147,90,60,2.77,CA,1687599421,11.089999999999975
91,kui buri,12.0828,99.8543,60,100,2.44,TH,1687599422,31.720000000000027
92,castro,-24.7911,-50.0119,87,28,1.58,BR,1687599423,11.980000000000018
93,jibuti,11.5,42.5,19,39,3.54,DJ,1687599423,38.31
